source_id,ra,dec,parallax,pmra,pmdec,ruwe,bp_rp,phot_g_mean_mag,radial_velocity,has_rvs,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot
1005841281566821888,90.01695448157014,60.90387881889423,4.237700475953843,14.91762611772378,-51.372297887202485,1.9014084,0.9414234,11.626484,2.1603851,false,5658.978,4.3177,-0.0385,230.9235
1006789709126967936,97.18973731594173,62.01378832477232,5.105090772201576,13.827568412535895,-18.161317421147967,0.9003543,0.88742447,11.285751,-37.112732,false,5702.2476,4.4487,0.1365,191.718
1007105616856052480,95.0292053578794,63.08967644536015,5.229776022423717,-10.689029238353665,-36.02026651325063,1.1310695,0.8498764,11.049847,-7.1964154,false,5749.126,4.3205,-0.1979,187.5767
1007317856962418944,98.98003749273971,63.47794413055562,4.235935344835205,16.50226466715308,-3.6724017175433503,1.1693331,0.8576803,11.620528,-18.899927,false,5625.76,4.4015,-0.1262,234.0993
1007555690775012224,97.25720106603136,63.893348971012934,8.923187873019366,30.33224326581572,17.42608835634539,1.1577182,0.78256035,9.686593,-55.96341,false,5798.013,4.2844,-0.2281,111.4143
1007660354833939072,95.95282098622427,64.59991862503779,7.55277654565257,27.10234904907825,-94.63242002706436,1.0224104,0.79220104,10.030484,33.737026,false,5750.4834,4.354,-0.1331,131.5381
1008006941515167872,92.34151464232374,63.38887787500888,7.509376490410887,30.373395625746348,-22.474055676414444,0.9012205,0.8283062,10.260284,-14.338602,false,5787.897,4.4263,0.1409,132.1641
1008499385284783872,93.87154004691975,65.24123029534904,5.588450623061871,1.1345085439669187,-11.997154456798102,1.0301044,0.8026447,10.699758,-36.707912,false,5739.029,4.3223,0.032,176.9785
1008674757390360704,92.52753811038475,65.1952330844406,8.09406126428009,-13.410374508938185,23.49428626782024,1.0881983,0.8168354,9.905367,-35.988075,false,5742.6533,4.3443,0.0343,125.1904
1012670142126168064,137.16831995227645,49.05773788636831,4.747200259218334,-33.40740409030947,-13.642524037368002,1.1604916,0.82761097,11.43128,-3.7797413,false,5645.0337,4.4406,-0.053,202.8673
1013875722266937344,133.58797671415695,46.75261849806247,4.795868255347306,19.879964674583967,-13.080227559923511,0.9592818,0.786397,11.3435135,-12.621669,false,5751.724,4.4384,-0.2751,205.4562
1015799283499485440,135.40373900808055,49.73625489527608,22.861800352433402,-85.01458356538,-128.8691361656808,1.0947566,0.786602,7.801909,4.97161,false,5756.952,4.3711,-0.5511,43.4914
1016381371827170048,137.77427905979263,51.581486181703795,4.267165852042852,-31.863777975694152,-19.052436160906026,5.4395275,0.8820162,11.424359,-5.002766,false,5409.595,4.2464,-0.6506,250.1512
